arxiv_id,title,authors,field,version,arxiv_url,pdf_url,published,updated,reviewed_at,model,effort,verdict,summary,problem_tags,findings,limitations
1502.03167v3,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,"[""Sergey Ioffe"", ""Christian Szegedy""]",Computer Science,3,https://arxiv.org/abs/1502.03167v3,https://arxiv.org/pdf/1502.03167v3.pdf,2015-02-11T01:44:18Z,2015-03-02T20:44:12Z,2026-07-26T02:37:42+00:00,gpt-5.6-sol,high,errors-found,Two demonstrable internal errors were found: an incorrect scale-invariance identity and inconsistent channel arithmetic in the architecture table.,"[""experimental-error"", ""mathematical-error""]","[{""id"": ""F1"", ""claim"": ""Batch Normalization is not invariant to an arbitrary scalar rescaling as claimed."", ""location"": ""Section 3.3, page 5, displayed equations beginning BN(Wu) = BN((aW)u)"", ""analysis"": ""The claimed equality contradicts Algorithm 1's definition. Consequently, the stated Jacobian equalities and conclusion that parameter scale does not affect gradient propagation do not follow exactly."", ""evidence"": ""Set gamma=1, beta=0 and let Wu over a batch be (-1,1). For a=-1,  Algorithm 1 gives BN(Wu)=(-1,1)/sqrt(1+epsilon), whereas BN((aW)u)=(1,-1)/sqrt(1+epsilon), so they are unequal. Even restricting a to positive values does not rescue the exact claim when epsilon>0: for a=2, the outputs are (-1,1)/sqrt(1+epsilon) and (-2,2)/sqrt(4+epsilon), respectively."", ""severity"": ""major"", ""category"": ""mathematical-error"", ""evidence_type"": ""counterexample"", ""confidence"": ""high""}, {""id"": ""F2"", ""claim"": ""The stated output depths of Inception modules 4c and 4d disagree with their listed branch widths."", ""location"": ""Appendix, Figure 5, page 11, rows inception (4c) and inception (4d)"", ""analysis"": ""The table describes concatenated Inception branches, so output depth is the sum of the branch output widths; reduction widths are not outputs. The listed values do  not sum to the stated depth."", ""evidence"": ""For 4c, the output branches have widths 160, 160, 160, and 128, totaling 608 rather than the stated 576. For 4d, they have widths 96, 192, 192, and 128, again totaling 608 rather than 576."", ""severity"": ""minor"", ""category"": ""experimental-error"", ""evidence_type"": ""arithmetic-error"", ""confidence"": ""high""}]","[""The audit is limited to contradictions, derivations, and arithmetic checkable from the supplied paper and source; empirical claims requiring external data or execution were not assessed.""]"
1406.2661v1,Generative Adversarial Networks,"[""Ian J. Goodfellow"", ""Jean Pouget-Abadie"", ""Mehdi Mirza"", ""Bing Xu"", ""David Warde-Farley"", ""Sherjil Ozair"", ""Aaron Courville"", ""Yoshua Bengio""]",Statistics,1,https://arxiv.org/abs/1406.2661v1,https://arxiv.org/pdf/1406.2661v1.pdf,2014-06-10T18:58:17Z,2014-06-10T18:58:17Z,2026-07-26T02:34:58+00:00,gpt-5.6-sol,high,errors-found,The paper contains a false uniqueness claim and an invalid convergence proposition.,"[""logical-error"", ""mathematical-error""]","[{""id"": ""F1"", ""claim"": ""The minimax game does not have a unique solution in the space of arbitrary functions  G and D."", ""location"": ""Abstract; Section 4.1, Proposition 1 and Theorem 1"", ""analysis"": ""The abstract claims a unique functional solution, but Theorem 1 establishes uniqueness only of the generated distribution pg. Distinct generators can induce the same optimal distribution. Proposition 1 also states that D need not be defined outside the union of the two distributions' supports, contradicting the claim that the unique solution has D equal to 1/2 everywhere."", ""evidence"": ""Let z be uniform on [0,1] and pdata be uniform on [0,1]. Both G1(z)=z and G2(z)=1-z are distinct functions inducing pg=pdata, and both attain C(G)=-log 4 with D=1/2 on the support. Moreover, D may take arbitrary values outside [0,1] without affecting the objective. Hence multiple functional pairs (G,D) solve the game."", ""severity"": ""major"", ""category"": ""mathematical-error"", ""evidence_type"": ""direct-contradiction"", ""confidence"": ""high""}, {""id"": ""F2"", ""claim"": ""Merely improving the criterion at each sufficiently small update does not imply that  pg converges to pdata."", ""location"": ""Section 4.2, Proposition 2 and its proof"", ""analysis"": ""The proof incorrectly infers convergence from convexity, a unique optimum, and sufficiently small improving updates. Convergence additionally requires conditions such as a suitable nonsummable step-size schedule. Arbitrarily small, strictly improving gradient steps can have finite total displacement and stop short of the optimum."", ""evidence"": ""Take a two-point space with pdata(1)=1/2 and pg,n(1)=qn, where qn=0.8+10^-6*2^-n.  For q>1/2, the virtual criterion has derivative C'(q)=log(q(1.5-q)/((0.5+q)(1-q)))>0. Thus every update qn+1<qn strictly improves C and can be written as a positive gradient-descent step; the updates are arbitrarily small and D may be optimized exactly at every step. Nevertheless qn converges to 0.8 rather than 0.5, so pg does not converge to pdata."", ""severity"": ""major"", ""category"": ""logical-error"", ""evidence_type"": ""counterexample"", ""confidence"": ""high""}]","[""This review assesses only errors demonstrable from the paper and its source, without external factual or experimental verification.""]"
1409.3215v3,Sequence to Sequence Learning with Neural Networks,"[""Ilya Sutskever"", ""Oriol Vinyals"", ""Quoc V. Le""]",Computer Science,3,https://arxiv.org/abs/1409.3215v3,https://arxiv.org/pdf/1409.3215v3.pdf,2014-09-10T19:55:35Z,2014-12-14T20:59:51Z,2026-07-26T02:16:15+00:00,gpt-5.6-sol,high,errors-found,One demonstrable logical error appears in the introductory optimization claim; no concrete errors were found in the reported arithmetic or core sequence-to-sequence formulation.,"[""logical-error""]","[{""id"": ""F1"", ""claim"": ""The paper incorrectly claims that supervised backpropagation will find good parameters whenever such parameters exist and the training data are sufficient."", ""location"": ""Page 1, Introduction"", ""analysis"": ""Existence of a good parameter setting does not imply that backpropagation can reach it. This is a concrete optimization failure, not merely an unsupported generalization, although it does not invalidate the paper's experiments."", ""evidence"": ""Consider the two-layer scalar network f(x)=w2w1x with squared loss on the single example x=1, y=1. Parameters w1=w2=1 achieve zero loss. At initialization w1=w2=0, however, both derivatives are zero: dL/dw1=2(w1w2-1)w2=0 and dL/dw2=2(w1w2-1)w1=0. Backpropagation therefore never leaves the zero-loss-gradient initialization and cannot find the existing solution, contradicting the statement that it 'will find these parameters.' The construction extends directly to arbitrarily wide deep linear networks initialized with zero layer matrices."", ""severity"": ""minor"", ""category"": ""logical-error"", ""evidence_type"": ""counterexample"", ""confidence"": ""high""}]","[""The review assesses only demonstrable internal consistency and derivations in the supplied paper text and LaTeX source; it does not independently verify empirical measurements or literature-dependent claims.""]"
1712.01815v1,Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,"[""David Silver"", ""Thomas Hubert"", ""Julian Schrittwieser"", ""Ioannis Antonoglou"", ""Matthew Lai"", ""Arthur Guez"", ""Marc Lanctot"", ""Laurent Sifre"", ""Dharshan Kumaran"", ""Thore Graepel"", ""Timothy Lillicrap"", ""Karen Simonyan"", ""Demis Hassabis""]",Computer Science,1,https://arxiv.org/abs/1712.01815v1,https://arxiv.org/pdf/1712.01815v1.pdf,2017-12-05T18:45:38Z,2017-12-05T18:45:38Z,2026-07-26T02:14:19+00:00,gpt-5.6-sol,high,errors-found,One major internal contradiction affects the paper's central tabula-rasa characterization.,"[""factual-error""]","[{""id"": ""F1"", ""claim"": ""AlphaZero is claimed to use no domain knowledge except game rules, but the Methods explicitly identify and use non-rule domain knowledge."", ""location"": ""Abstract and conclusion; Methods, \u201cDomain Knowledge,\u201d items 1, 4, and 5"", ""analysis"": ""The abstract says AlphaZero was given \u201cno domain knowledge except the game rules.\u201d However, the paper's own \u201cDomain Knowledge\u201d section lists additional inputs: an architecture matched  to the board's grid structure, exploration-noise scaling based on the typical number of legal moves, and maximum game lengths determined from typical game length. The latter two are empirical domain statistics, not game rules. Because the paper itself classifies these items as domain knowledge, both statements cannot be true as written."", ""evidence"": ""The abstract restricts domain knowledge to game rules. Methods item 4 states, \u201cThe typical number of legal moves is used to scale the exploration noise,\u201d and item 5 states that maximum steps were \u201cdetermined by typical game length.\u201d The section concludes that AlphaZero used no domain knowledge \u201cbeyond the points listed above,\u201d expressly acknowledging those additional forms of domain knowledge."", ""severity"": ""major"", ""category"": ""factual-error"", ""evidence_type"": ""direct-contradiction"", ""confidence"": ""high""}]","[""This audit assesses only demonstrable internal errors; it does not independently verify experimental results, citations, or external factual claims.""]"
2106.09685v2,LoRA: Low-Rank Adaptation of Large Language Models,"[""Edward J. Hu"", ""Yelong Shen"", ""Phillip Wallis"", ""Zeyuan Allen-Zhu"", ""Yuanzhi Li"", ""Shean Wang"", ""Lu Wang"", ""Weizhu Chen""]",Computer Science,2,https://arxiv.org/abs/2106.09685v2,https://arxiv.org/pdf/2106.09685v2.pdf,2021-06-17T17:37:18Z,2021-10-16T18:40:34Z,2026-07-26T02:04:13+00:00,gpt-5.6-sol,high,errors-found,Two clear internal errors were found: an algebraically invalid identity and a conclusion contradicted by its own table.,"[""experimental-error"", ""mathematical-error""]","[{""id"": ""F1"", ""claim"": ""The stated relationship between normalized subspace similarity and projection distance is algebraically incorrect."", ""location"": ""Appendix G, page 23, similarity equation"", ""analysis"": ""From the paper's definitions, d^2=p-sum(sigma_i^2), so the similarity equals 1-d^2/p, not (1-d^2)/p."", ""evidence"": ""For  two identical two-dimensional subspaces, p=2 and d=0. The similarity definition gives phi=2/2=1, while the claimed identity gives (1-0)/2=0.5, contradicting the paper's immediately following statement that identical column spans have phi=1."", ""severity"": ""minor"", ""category"": ""mathematical-error"", ""evidence_type"": ""invalid-derivation"", ""confidence"": ""high""}, {""id"": ""F2"", ""claim"": ""The paper incorrectly concludes that adapting Wq and Wv gives the best performance under the fixed parameter budget."", ""location"": ""Section 7.1, Table 5 and accompanying text, page 9"", ""analysis"": ""The four-matrix  configuration weakly dominates the Wq,Wv configuration in the paper's own two reported metrics at the same 18M-parameter budget."", ""evidence"": ""Table 5 reports Wq,Wv at 73.7 WikiSQL and 91.3 MultiNLI,  while Wq,Wk,Wv,Wo obtains the same 73.7 WikiSQL score and a higher 91.7 MultiNLI score. Thus Wq,Wv cannot be the best overall configuration as claimed."", ""severity"": ""minor"", ""category"": ""experimental-error"", ""evidence_type"": ""direct-contradiction"", ""confidence"": ""high""}]","[""This audit assesses only demonstrable internal consistency using the extracted paper and LaTeX source; it  does not independently verify experimental measurements.""]"
2001.08361v1,Scaling Laws for Neural Language Models,"[""Jared Kaplan"", ""Sam McCandlish"", ""Tom Henighan"", ""Tom B. Brown"", ""Benjamin Chess"", ""Rewon Child"", ""Scott Gray"", ""Alec Radford"", ""Jeffrey Wu"", ""Dario Amodei""]",Computer Science,1,https://arxiv.org/abs/2001.08361v1,https://arxiv.org/pdf/2001.08361v1.pdf,2020-01-23T03:59:20Z,2020-01-23T03:59:20Z,2026-07-26T02:02:14+00:00,gpt-5.6-sol,high,errors-found,One demonstrable arithmetic inconsistency occurs in the compute-efficient data-scaling extrapolation.,"[""mathematical-error""]","[{""id"": ""F1"", ""claim"": ""Equation (6.7) gives the wrong coefficient and exponent for compute-efficient data usage."", ""location"": ""Pages 16\u201317, Equations (6.1), (6.7), and (6.8); Table 6"", ""analysis"": ""Substituting the paper's model-size fit and PF-day definition into Equation (6.7) does not produce its printed approximation. Table 6 instead reports the correctly implied scaling. Moreover, Equation (6.8)'s stated intersection follows Table 6 rather  than Equation (6.7), making the inconsistency consequential within the paper's extrapolation."", ""evidence"": ""The paper states N(C_min)=1.3\u00d710^9 C_min^0.73, one PF-day=8.64\u00d710^19 FLOPs, and D=2C_min/[6N(C_min)]. Therefore D=[2\u00d78.64\u00d710^19/(6\u00d71.3\u00d710^9)]C_min^(1\u22120.73)=2.2\u00d710^10 C_min^0.27 tokens, agreeing with Table 6's approximately 2\u00d710^10 C_min^0.27 but not Equation (6.7)'s  4\u00d710^10 C_min^0.26. Using Equation (6.7) with L(D)=(5.4\u00d710^13/D)^0.095 and L(C_min)=(3.1\u00d710^8/C_min)^0.050 yields an intersection near 1.1\u00d710^5 PF-days and L\u22481.49, not Equation (6.8)'s 10^4 PF-days and L\u22481.7."", ""severity"": ""minor"", ""category"": ""mathematical-error"", ""evidence_type"": ""arithmetic-error"", ""confidence"": ""high""}]","[""The review assesses only demonstrable internal consistency; it does not independently validate the empirical measurements or fitted scaling laws.""]"
2005.14165v4,Language Models are Few-Shot Learners,"[""Tom B. Brown"", ""Benjamin Mann"", ""Nick Ryder"", ""Melanie Subbiah"", ""Jared Kaplan"", ""Prafulla Dhariwal"", ""Arvind Neelakantan"", ""Pranav Shyam"", ""Girish Sastry"", ""Amanda Askell"", ""Sandhini Agarwal"", ""Ariel Herbert-Voss"", ""Gretchen Krueger"", ""Tom Henighan"", ""Rewon Child"", ""Aditya Ramesh"", ""Daniel M. Ziegler"", ""Jeffrey Wu"", ""Clemens Winter"", ""Christopher Hesse"", ""Mark Chen"", ""Eric Sigler"", ""Mateusz Litwin"", ""Scott Gray"", ""Benjamin Chess"", ""Jack Clark"", ""Christopher Berner"", ""Sam McCandlish"", ""Alec Radford"", ""Ilya Sutskever"", ""Dario Amodei""]",Computer Science,4,https://arxiv.org/abs/2005.14165v4,https://arxiv.org/pdf/2005.14165v4.pdf,2020-05-28T17:29:03Z,2020-07-22T19:47:17Z,2026-07-26T01:58:32+00:00,gpt-5.6-sol,high,errors-found,The paper contains three explicit internal inconsistencies in training-data and human-evaluation reporting.,"[""experimental-error""]","[{""id"": ""F1"", ""claim"": ""The reported WebText2 epoch count is incompatible with its dataset size and sampling  weight."", ""location"": ""Table 2.2, page 9"", ""analysis"": ""The table defines sampling weight as the fraction of training examples drawn from  each dataset, and Appendix B states that training examples are uniformly full 2,048-token sequences. The stated quantities therefore directly determine epochs."", ""evidence"": ""WebText2 contains 19 billion tokens and has 22% weight over 300 billion training tokens. This gives (300 \u00d7 0.22) / 19 = 3.47 epochs, not the reported 2.9 epochs."", ""severity"": ""minor"", ""category"": ""experimental-error"", ""evidence_type"": ""arithmetic-error"", ""confidence"": ""high""}, {""id"": ""F2"", ""claim"": ""The short-article human-study participant accounting is internally inconsistent."", ""location"": ""Appendix E, page 46, participant paragraph and Table E.1"", ""analysis"": ""The aggregate participant totals cannot be reconciled with the per-experiment counts in the table. Individual demographic rows are also arithmetically impossible for the corresponding retained samples."", ""evidence"": ""Table E.1's recruited counts sum to 713 and its exclusions sum to 97, leaving 616  participants. The text instead reports 718 recruited, 97 excluded, and 621 retained. Additionally, the GPT-3 Large row retains 81 \u2212 24 = 57 participants but reports gender counts totaling 46 + 28 + 2  = 76."", ""severity"": ""major"", ""category"": ""experimental-error"", ""evidence_type"": ""arithmetic-error"", ""confidence"": ""high""}, {""id"": ""F3"", ""claim"": ""The paper gives three incompatible counts for the model conditions in the short-article human study."", ""location"": ""Section 3.9.4 and Table 3.11, page 25; Appendix E, page 46"", ""analysis"": ""These statements describe the same short-news experiment but cannot all be true."", ""evidence"": ""Section 3.9.4 says completions were generated from four language models. Appendix  E explicitly lists eight model sizes. Table 3.11 contains those eight GPT-3 conditions plus a control, while its caption says it compares five different models."", ""severity"": ""minor"", ""category"": ""experimental-error"", ""evidence_type"": ""direct-contradiction"", ""confidence"": ""high""}]","[""This audit assesses only contradictions and calculations recoverable from the paper and supplied LaTeX; it does not independently validate experimental outputs.""]"
1301.3781v3,Efficient Estimation of Word Representations in Vector Space,"[""Tomas Mikolov"", ""Kai Chen"", ""Greg Corrado"", ""Jeffrey Dean""]",Computer Science,3,https://arxiv.org/abs/1301.3781v3,https://arxiv.org/pdf/1301.3781v3.pdf,2013-01-16T18:24:43Z,2013-09-07T00:30:40Z,2026-07-26T01:56:00+00:00,gpt-5.6-sol,high,no-glaring-errors-found,"No demonstrable internal contradiction, counterexample, invalid derivation, or arithmetic error met the required high-confidence threshold.",[],[],"[""Review relied on PDF-extracted text because LaTeX source was unavailable; lost mathematical typesetting may conceal details.""]"
1412.6980v9,Adam: A Method for Stochastic Optimization,"[""Diederik P. Kingma"", ""Jimmy Ba""]",Computer Science,9,https://arxiv.org/abs/1412.6980v9,https://arxiv.org/pdf/1412.6980v9.pdf,2014-12-22T13:54:29Z,2017-01-30T01:27:54Z,2026-07-26T01:51:12+00:00,gpt-5.6-sol,high,errors-found,The paper contains false update bounds and multiple demonstrable gaps in its convergence proof.,"[""factual-error"", ""logical-error"", ""mathematical-error""]","[{""id"": ""F1"", ""claim"": ""Lemma 10.3 is false under its stated assumptions."", ""location"": ""Appendix, Lemma 10.3"", ""analysis"": ""The lemma's bound fails even in one dimension with one timestep."", ""evidence"": ""Set T=d=1 and g_1=0.1, with valid bounds G=G_infinity=0.1. The claimed left side is sqrt(g_1^2)=0.1, while the right side is 2 G_infinity ||g_1||_2=2(0.1)(0.1)=0.02. Thus 0.1 <= 0.02 is false. Lemma 10.4 and the main regret proof subsequently invoke this lemma."", ""severity"": ""major"", ""category"": ""mathematical-error"", ""evidence_type"": ""counterexample"", ""confidence"": ""high""}, {""id"": ""F2"", ""claim"": ""The regret proof incorrectly telescopes coefficients that need not be nonnegative."", ""location"": ""Appendix, proof of Theorem 10.5, equations immediately before the bound beginning  'From the assumption'"", ""analysis"": ""The proof replaces squared distances by their upper bound inside terms weighted by differences of sqrt(v_hat_t)/alpha_t. That replacement preserves an upper bound only when those differences are nonnegative, but Adam does not ensure this."", ""evidence"": ""Take beta_2=0.9, g_1=1, and g_2=0. Then v_hat_1=1 and v_hat_2=0.09/0.19=9/19. With alpha_t=alpha/sqrt(t), sqrt(v_hat_1)/alpha_1=1/alpha, whereas sqrt(v_hat_2)/alpha_2=sqrt(18/19)/alpha<1/alpha. The coefficient difference at t=2 is therefore negative. For a negative coefficient, replacing a squared distance x<=D^2 by D^2 reverses the required inequality, so the displayed regret bound does not follow."", ""severity"": ""major"", ""category"": ""mathematical-error"", ""evidence_type"": ""invalid-derivation"", ""confidence"": ""high""}, {""id"": ""F3"", ""claim"": ""The proof applies the iterate-distance assumption to the comparator theta-star without justification."", ""location"": ""Theorem 10.5 and its proof, statement 'From the assumption, ||theta_t-theta-star||_2 <= D'"", ""analysis"": ""The theorem assumes only that pairs of parameters generated by Adam are within D.  The regret comparator theta-star is an arbitrary best fixed point in X and need not be a generated iterate."", ""evidence"": ""A sequence with every generated iterate equal to 0 satisfies the stated pairwise condition with D=0, while a comparator theta-star=1 has distance 1 from every iterate. Hence the proof's asserted implication does not follow from the theorem's assumptions."", ""severity"": ""major"", ""category"": ""logical-error"", ""evidence_type"": ""invalid-derivation"", ""confidence"": ""high""}, {""id"": ""F4"", ""claim"": ""Section 2.1's claimed bound |Delta_t| <= alpha in its 'otherwise' parameter regime is false."", ""location"": ""Section 2.1, Adam's update rule"", ""analysis"": ""Permitted decay rates can make the first-moment estimate decay much more slowly than the square root of the second-moment estimate."", ""evidence"": ""Use epsilon=0 as assumed in the section, beta_1=0.99, beta_2=0.9, g_1=1, and g_2 through g_100=0. Since 1-beta_1=0.01<sqrt(1-beta_2), the paper claims |Delta_100|<=alpha. Instead, m_hat_100=0.01(0.99^99)/(1-0.99^100) approximately 0.00583 and v_hat_100=0.1(0.9^99)/(1-0.9^100) approximately 2.95e-6. Therefore |m_hat_100|/sqrt(v_hat_100) approximately 3.39, giving |Delta_100| approximately 3.39 alpha."", ""severity"": ""major"", ""category"": ""mathematical-error"", ""evidence_type"": ""counterexample"", ""confidence"": ""high""}, {""id"": ""F5"", ""claim"": ""The claimed universal AdaMax update bound |Delta_t| <= alpha is false."", ""location"": ""Section 7.1, immediately after Equation 12"", ""analysis"": ""No stated condition prevents AdaMax's momentum from decaying more slowly than its  infinity-norm accumulator."", ""evidence"": ""Use beta_1=0.99, beta_2=0.9, g_1=1, and g_2 through g_100=0, all allowed by Algorithm 2. Then m_hat_100 approximately 0.00583, while u_100=0.9^99 approximately 2.95e-5. Hence |Delta_100|/alpha=|m_hat_100|/u_100 approximately 197.6, contradicting the asserted bound."", ""severity"": ""major"", ""category"": ""mathematical-error"", ""evidence_type"": ""counterexample"", ""confidence"": ""high""}, {""id"": ""F6"", ""claim"": ""The paper gives mutually incompatible prescriptions for beta_2 with sparse gradients."", ""location"": ""Section 3 versus Sections 5 and 6.4"", ""analysis"": ""The statements identify opposite ends of beta_2's range as necessary for the same  purpose."", ""evidence"": ""Section 3 says that averaging many gradients in the sparse case requires 'a small  value of beta_2.' Section 5 says beta_2 close to 1 is 'required in case of sparse gradients,' and Section 6.4 repeats that values close to 1 are required for robustness to sparse gradients. Both prescriptions cannot be true as written."", ""severity"": ""minor"", ""category"": ""factual-error"", ""evidence_type"": ""direct-contradiction"", ""confidence"": ""high""}]","[""The available LaTeX file only includes the PDF rather than exposing its mathematical source; findings were restricted to formulas whose meaning is clear from the extracted text and surrounding derivations.""]"
1512.03385v1,Deep Residual Learning for Image Recognition,"[""Kaiming He"", ""Xiangyu Zhang"", ""Shaoqing Ren"", ""Jian Sun""]",Computer Science,1,https://arxiv.org/abs/1512.03385v1,https://arxiv.org/pdf/1512.03385v1.pdf,2015-12-10T19:51:55Z,2015-12-10T19:51:55Z,2026-07-26T01:49:05+00:00,gpt-5.6-sol,high,no-glaring-errors-found,"No demonstrable internal contradiction, counterexample, invalid derivation, or arithmetic error met the required high-confidence threshold.",[],[],"[""Empirical measurements and visually plotted values could not be independently verified beyond the paper's internally reported text, tables, and source.""]"
1810.04805v2,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,"[""Jacob Devlin"", ""Ming-Wei Chang"", ""Kenton Lee"", ""Kristina Toutanova""]",Computer Science,2,https://arxiv.org/abs/1810.04805v2,https://arxiv.org/pdf/1810.04805v2.pdf,2018-10-11T00:50:01Z,2019-05-24T20:37:26Z,2026-07-25T12:21:00+00:00,gpt-5.6-sol,high,errors-found,One concrete arithmetic inconsistency was identified in the stated estimate of pre-training corpus epochs.,"[""mathematical-error""]","[{""id"": ""F1"", ""claim"": ""The claimed approximately 40 corpus epochs conflicts with the stated sequence-length schedule."", ""location"": ""Appendix A.2 and Appendix C.1"", ""analysis"": ""The 40-epoch estimate effectively counts every training sequence as length 512, although the paper states that 90% of steps use length 128."", ""evidence"": ""The stated schedule processes at most 1,000,000 * 256 * (0.9 * 128 + 0.1 * 512) = 42.5984 billion token slots. Relative to the stated 3.3 billion-word corpus, that is about 12.9 passes, not 40; tokenization differences are not large enough to close the gap."", ""severity"": ""minor"", ""category"": ""mathematical-error"", ""evidence_type"": ""arithmetic-error"", ""confidence"": ""high""}]","[""This arithmetic issue concerns the paper's descriptive epoch estimate, not the reported downstream results.""]"
1706.03762v7,Attention Is All You Need,"[""Ashish Vaswani"", ""Noam Shazeer"", ""Niki Parmar"", ""Jakob Uszkoreit"", ""Llion Jones"", ""Aidan N. Gomez"", ""Lukasz Kaiser"", ""Illia Polosukhin""]",Computer Science,7,https://arxiv.org/abs/1706.03762v7,https://arxiv.org/pdf/1706.03762v7.pdf,2017-06-12T17:57:34Z,2023-08-02T00:41:18Z,2026-07-25T12:18:44+00:00,gpt-5.6-sol,high,errors-found,One concrete internal error was identified: the paper reports two different English-French BLEU scores for the same headline model.,"[""factual-error""]","[{""id"": ""F1"", ""claim"": ""The English-French headline score is internally inconsistent."", ""location"": ""Abstract, Table 2, and Section 6.1"", ""analysis"": ""The same Transformer (big) English-French result cannot simultaneously be 41.8 and 41.0 BLEU."", ""evidence"": ""The abstract and Table 2 report 41.8 BLEU, while Section 6.1 reports 41.0 BLEU for the English-French big model."", ""severity"": ""minor"", ""category"": ""factual-error"", ""evidence_type"": ""direct-contradiction"", ""confidence"": ""high""}]","[""This discrepancy may be a typographical error and does not undermine the paper's central architecture or results.""]"
